animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,Class_Number,Number_Of_Animal_Species_In_Class,Class_Type,Animal_Names,habitat_type,diet,conservation_status,is_endangered,diet_complexity
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,,,unknown,unknown,unknown,unknown,unknown,0,0
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,,,unknown,unknown,unknown,unknown,unknown,0,0
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,,,unknown,unknown,unknown,unknown,unknown,0,0
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,,,unknown,unknown,unknown,unknown,unknown,0,0
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1,,,unknown,unknown,unknown,unknown,unknown,0,0
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,,,unknown,unknown,unknown,unknown,unknown,0,0
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,,,unknown,unknown,unknown,unknown,unknown,0,0
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,,,unknown,unknown,unknown,unknown,unknown,0,0
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,,,unknown,unknown,unknown,unknown,unknown,0,0
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,,,unknown,unknown,unknown,unknown,unknown,0,0
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,,,unknown,unknown,unknown,unknown,unknown,0,0
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,,,unknown,unknown,unknown,unknown,unknown,0,0
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,,,unknown,unknown,unknown,unknown,unknown,0,0
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,,,unknown,unknown,unknown,unknown,unknown,0,0
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,,,unknown,unknown,unknown,unknown,unknown,0,0
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,,,unknown,unknown,unknown,unknown,unknown,0,0
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,,,unknown,unknown,unknown,unknown,unknown,0,0
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,,,unknown,unknown,unknown,unknown,unknown,0,0
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,,,unknown,unknown,unknown,unknown,unknown,0,0
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2,,,unknown,unknown,unknown,unknown,unknown,0,0
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,,,unknown,unknown,unknown,unknown,unknown,0,0
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,,,unknown,unknown,unknown,unknown,unknown,0,0
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,,,unknown,unknown,unknown,unknown,unknown,0,0
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,,,unknown,unknown,unknown,unknown,unknown,0,0
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,,,unknown,unknown,unknown,unknown,unknown,0,0
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,,,unknown,unknown,unknown,unknown,unknown,0,0
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2,,,unknown,unknown,unknown,unknown,unknown,0,0
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7,,,unknown,unknown,unknown,unknown,unknown,0,0
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,,,unknown,unknown,unknown,unknown,unknown,0,0
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,,,unknown,unknown,unknown,unknown,unknown,0,0
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,,,unknown,unknown,unknown,unknown,unknown,0,0
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,,,unknown,unknown,unknown,unknown,unknown,0,0
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,,,unknown,unknown,unknown,unknown,unknown,0,0
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,,,unknown,unknown,unknown,unknown,unknown,0,0
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,,,unknown,unknown,unknown,unknown,unknown,0,0
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,,,unknown,unknown,unknown,unknown,unknown,0,0
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,,,unknown,unknown,unknown,unknown,unknown,0,0
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1,,,unknown,unknown,unknown,unknown,unknown,0,0
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7,,,unknown,unknown,unknown,unknown,unknown,0,0
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,,,unknown,unknown,unknown,unknown,unknown,0,0
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2,,,unknown,unknown,unknown,unknown,unknown,0,0
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,,,unknown,unknown,unknown,unknown,unknown,0,0
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,,,unknown,unknown,unknown,unknown,unknown,0,0
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3,,,unknown,unknown,unknown,unknown,unknown,0,0
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,,,unknown,unknown,unknown,unknown,unknown,0,0
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,,,unknown,unknown,unknown,unknown,unknown,0,0
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,,,unknown,unknown,unknown,unknown,unknown,0,0
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,,,unknown,unknown,unknown,unknown,unknown,0,0
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2,,,unknown,unknown,unknown,unknown,unknown,0,0
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,,,unknown,unknown,unknown,unknown,unknown,0,0
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,,,unknown,unknown,unknown,unknown,unknown,0,0
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,,,unknown,unknown,unknown,unknown,unknown,0,0
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,,,unknown,unknown,unknown,unknown,unknown,0,0
